3,Lookup by country needed Some way to choose the hackerspace on a map or by the country and city would be very helpful. As it is now, the app is not very useful.
5,Me Good
5,Awesome! This is a great little app. Simple, and useful. Love the widget too!
5,Finally A hackerspace state indicator, a good year after the initial spec it's about time :-)
5,Perfect
