4,Keyboard doesn't appear. The keyboard doesn't appear in the setting. My device is galaxy grand with android os 4.1.2, without root, but it has Hindi fonts with Pali and Skt diacritics originally. Pls. consider fixing it asa you can. Thanks for your devotion to Pali.
5,Good news I am student of Pali. So it is good for me.
5,good p??i keyboard missing an entry for 'n' with the little dot above it., everything else looks good, now if only my android device supported the font (without rooting it).
5,iti sarvagun sampanna,srve pthtu ity
4,Cjhjj Superb faltu softec
5,Good Vast knowledge
5,d
