5,満足です。 すばらしいアプリをありがとうございます。　全角カナ半角カナなどを同じと見なしたり、表現の相違を補完したりする、『あいまい検索』や『ゆらぎ検索』っていうような機能が実装されるとさらに良くなると思いますので、勝手に今後にも期待します。^^
4,To：Satokoさん 複数語検索でしたら正規表現を使われればよろしいかと。A|Bまたは[AB]等ありますので一度お試しになることをお勧めします。
5,完璧 ARROWS X LTE 完璧です。大満足。
5,非常に便利。重宝してます。
5,最強のgrepです。
5,とても便利！
4,何気に便利。プリインストールされててもいいのに。
5,完璧 必要な機能がトラブルなく使えて、しかも高速。自分としては現在最強のテキスト検索ツール。
5,結構grep検索使う人間なんで非常に便利です。
1,強制終了します。
5,すごい！
5,Nexus 7 ver 4.2でも動くようになった。 先日 Nexus7 のバージョンを 4.2 にしたところ動かなくなった。しかし、作者の素早い対応でまた使えるようになり　感謝！、感謝！
